match_id,venue,innings,batting_team,bowling_team,total_runs
335982,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,61
335982,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,26
335983,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,53
335983,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,56
335984,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,40
335984,Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,55
335985,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,47
335985,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,40
335986,Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,39
335986,Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,26
335987,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,54
335987,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,53
335988,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,25
335988,"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,44
335989,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,52
335989,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,52
335990,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Rajasthan Royals,57
335990,"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Deccan Chargers,73
335991,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,56
335991,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,39
335992,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,57
335992,M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,45
335993,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,Chennai Super Kings,61
335993,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kolkata Knight Riders,45
335994,Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,27
335994,Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,59
335995,"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,Kings XI Punjab,45
335995,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Delhi Daredevils,55
335996,M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,36
335996,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,45
335997,Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,40
335997,Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,38
335998,Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,58
335998,Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,55
335999,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Kings XI Punjab,50
335999,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Deccan Chargers,41
336000,Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,45
336000,Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,51
336001,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,47
336001,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,64
336002,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,41
336002,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,43
336003,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,49
336003,"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,31
336004,Dr DY Patil Sports Academy,1,Mumbai Indians,Delhi Daredevils,50
336004,Dr DY Patil Sports Academy,2,Delhi Daredevils,Mumbai Indians,37
336005,Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,38
336005,Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,44
336006,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,26
336006,M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,52
336007,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,34
336007,"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,Chennai Super Kings,50
336008,Dr DY Patil Sports Academy,1,Rajasthan Royals,Mumbai Indians,48
336008,Dr DY Patil Sports Academy,2,Mumbai Indians,Rajasthan Royals,34
336009,Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,50
336009,Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,58
336010,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,41
336010,Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,35
336011,Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,50
336011,Sawai Mansingh Stadium,2,Rajasthan Royals,Deccan Chargers,50
336012,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,36
336012,M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,39
336013,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kings XI Punjab,51
336013,"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,Chennai Super Kings,35
336014,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,43
336014,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kolkata Knight Riders,52
336015,Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,47
336015,Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,21
336016,"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,Kings XI Punjab,50
336016,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Royal Challengers Bangalore,42
336017,Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,35
336017,Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,37
336018,Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,28
336018,Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,78
336019,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,51
336019,"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,38
336020,Feroz Shah Kotla,1,Delhi Daredevils,Deccan Chargers,48
336020,Feroz Shah Kotla,2,Deccan Chargers,Delhi Daredevils,71
336021,Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,27
336021,Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,68
